sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
e705328e-a874-4b3d-9816-18f45a2e00a4,מצובה,locality,0.567,45.0,79.35918774215861,19.28471484377135,117.58328051946229,0.45121951219512196,1.2116699804812427,13,22.925987569956934,51.19
1f0ff9ef-fdb8-40a7-b1f0-cc800dc4cec8,חניתה,locality,0.2892,22.0,76.08370034031392,28.127717758011578,150.61623602456226,0.5925925925925926,1.4399371467527937,6,20.75010009281289,50.67
c094869d-e857-4897-8957-3bde39a9f310,النواقير,locality,0.024,1.0,41.67369596852185,21.621693954054102,172.94437535518816,0.75,1.0226025523870768,0,0.0,37.41
26bfd0ec-af3f-4e9b-bc6a-5f62fd7252f9,שלומי,locality,1.5451,193.0,124.91022432401405,29.6306518245524,101.96571878300749,0.5393794749403341,1.322569117355529,122,78.95879465041303,74.9
40544512-bf73-49eb-b48c-c1e5cc641cb8,בצת,locality,0.7276,47.0,64.60016569509338,23.088025128127423,154.10776233673434,0.6016949152542372,1.093281287048613,10,13.744716105339016,47.41
67f7eec1-0fee-4da4-a912-1d33b918cfd7,ראש הנקרה,locality,0.4155,40.0,96.26209708127507,29.557585363043152,109.66185868450748,0.6721311475409836,1.0911174419228071,7,16.845866989223136,59.33
4bab91a8-b61b-4c47-8c88-ddf720a27a15,לימן,locality,0.5179,25.0,48.2755034959211,24.322046563913727,242.21998260990082,0.4791666666666667,3.8832817903797645,22,42.48244307641057,43.49
3bd63ffd-dc7c-40fb-9d80-36159cd5a8b8,שלומי,locality,5.8652,286.0,48.762424368495466,17.746787719226944,165.74515957946244,0.5168918918918919,1.2769302868692451,125,21.31224841280396,40.95
818ee582-14a4-4733-8c5a-0e35fbf4be85,גשר הזיו,locality,0.5525,62.0,112.22621214772589,26.08620252856994,108.35690839543838,0.4700854700854701,1.3536632152547057,22,39.82220431048338,66.36
026c069b-0136-4f63-8c6d-dc44af6e78e3,סער,locality,0.4915,44.0,89.52190735532339,25.920592131760543,126.13827698833161,0.5319148936170213,1.3737428733686874,7,14.24212162471054,50.28
64b0de21-8d10-4931-b2e3-5b63bf78f146,בן עמי,locality,0.6598,17.0,25.764806704082797,13.635545056455785,163.58061854902652,0.746268656716418,1.0418595641718948,22,33.342691028813036,41.95
3817fd25-99cf-4b50-a03b-2f32dfbc1d05,נהריה,locality,13.8688,1014.0,73.11374082612696,20.153721402450284,119.19316548948923,0.5653664809258465,1.2962364391650794,1230,88.68826549914807,58.62
ad62329f-0f2d-481a-aab1-7b18d5c29b01,כברי,locality,0.4753,73.0,153.58574456892958,39.831510775763306,94.66048736462453,0.6826086956521739,1.1763969322731787,31,65.22134358406598,82.35
705fc520-66e7-4b72-85a0-bbc4e8813422,الشيخ دنون‎,locality,0.3533,40.0,113.2097013091538,18.870580359828427,87.72997618629556,0.38461538461538464,1.0679767306893935,3,8.490727598186535,56.06
